finding_id,audit_id,severity,category,iosa_discipline_code,standard_ref,description,risk_index,date_raised,date_closed,due_date,status,repeat_flag,root_cause,responsible_owner,probability_score,closed_on_time
19,2,High,Documentation,DSP,DSP 3.2.9B,Synthetic finding 19 in documentation category.,16,2023-04-18,2023-06-19,2023-07-06,Closed,True,Procedure not followed,Owner 09,4,True
20,2,High,Training,FLT,FLT 1.5.1,Synthetic finding 20 in training category.,20,2023-04-13,2023-05-19,2023-05-19,Closed,True,Training gap,Owner 18,5,True
21,2,Medium,Equipment,DSP,DSP 4.3.13,Synthetic finding 21 in equipment category.,2,2023-04-12,,2023-06-13,Overdue,False,Process design,Owner 14,1,False
22,2,Medium,Human Factors,ORG,ORG 1.5.6,Synthetic finding 22 in human factors category.,2,2023-04-16,2023-05-22,2023-06-23,Closed,False,Documentation gap,Owner 17,1,True
23,2,High,Human Factors,ORG,ORG 4.1.3,Synthetic finding 23 in human factors category.,12,2023-04-19,2023-06-19,2023-06-24,Closed,True,Resource limitation,Owner 11,3,True
24,2,Low,Training,FLT,FLT 1.6.1,Synthetic finding 24 in training category.,4,2023-04-12,2023-05-21,2023-05-27,Closed,False,Process design,Owner 04,4,True
25,2,Low,Documentation,DSP,DSP 2.3.1,Synthetic finding 25 in documentation category.,2,2023-04-19,2023-06-13,2023-06-14,Closed,True,Procedure not followed,Owner 03,2,True
26,2,Medium,Documentation,ORG,ORG 3.1.4,Synthetic finding 26 in documentation category.,4,2023-04-12,2023-05-21,2023-06-17,Closed,False,Process design,Owner 10,2,True
27,2,Low,Human Factors,DSP,DSP 1.10.2,Synthetic finding 27 in human factors category.,3,2023-04-19,2023-06-09,2023-07-02,Closed,False,Procedure not followed,Owner 14,3,True
28,2,Low,Training,FLT,FLT 2.2.33,Synthetic finding 28 in training category.,4,2023-04-23,,2023-06-26,Overdue,False,Procedure not followed,Owner 03,4,False
29,3,Critical,Documentation,ORG,ORG 1.7.8,Synthetic finding 29 in documentation category.,25,2022-05-27,2022-07-26,2022-07-25,Closed,False,Documentation gap,Owner 12,5,False
30,3,Low,Facilities,FLT,FLT 3.11.47,Synthetic finding 30 in facilities category.,2,2022-05-25,2022-07-18,2022-07-31,Closed,False,Procedure not followed,Owner 11,2,True
31,3,High,Human Factors,FLT,FLT 1.6.1,Synthetic finding 31 in human factors category.,16,2022-06-06,2022-07-26,2022-08-28,Closed,False,Resource limitation,Owner 15,4,True
32,3,Low,Human Factors,DSP,DSP 3.2.9B,Synthetic finding 32 in human factors category.,2,2022-06-04,2022-08-23,2022-08-24,Closed,False,Procedure not followed,Owner 14,2,True
33,3,Medium,Documentation,ORG,ORG 2.2.2,Synthetic finding 33 in documentation category.,2,2022-05-26,2022-07-27,2022-07-31,Closed,True,Procedure not followed,Owner 06,1,True
34,3,Medium,Operations,DSP,DSP 1.3.4,Synthetic finding 34 in operations category.,10,2022-05-25,2022-06-26,2022-06-25,Closed,False,Procedure not followed,Owner 14,5,False
35,3,Low,Documentation,FLT,FLT 3.11.59,Synthetic finding 35 in documentation category.,2,2022-05-29,2022-07-30,2022-08-17,Closed,False,Documentation gap,Owner 01,2,True
36,3,High,Facilities,DSP,DSP 3.7.1,Synthetic finding 36 in facilities category.,20,2022-06-03,2022-08-07,2022-07-30,Closed,False,Procedure not followed,Owner 20,5,False
37,3,High,Facilities,ORG,ORG 1.1.4,Synthetic finding 37 in facilities category.,20,2022-05-25,2022-08-02,2022-07-07,Closed,False,Training gap,Owner 05,5,False
38,3,Low,Training,FLT,FLT 3.13.6,Synthetic finding 38 in training category.,2,2022-05-31,2022-07-26,2022-08-07,Closed,False,Training gap,Owner 08,2,True
39,3,Low,Human Factors,ORG,ORG 1.6.1,Synthetic finding 39 in human factors category.,4,2022-06-04,2022-08-13,2022-07-17,Closed,True,Procedure not followed,Owner 11,4,False
40,3,Medium,Equipment,ORG,ORG 2.1.9,Synthetic finding 40 in equipment category.,4,2022-06-06,2022-07-01,2022-08-08,Closed,False,Procedure not followed,Owner 10,2,True
41,3,Low,Human Factors,DSP,DSP 4.5.1,Synthetic finding 41 in human factors category.,4,2022-05-26,2022-08-25,2022-08-02,Closed,False,Process design,Owner 16,4,False
42,3,Low,Human Factors,FLT,FLT 3.11.60,Synthetic finding 42 in human factors category.,3,2022-05-26,,2022-07-31,Overdue,False,Process design,Owner 11,3,False
43,3,Low,Facilities,DSP,DSP 3.4.3,Synthetic finding 43 in facilities category.,2,2022-06-03,2022-06-29,2022-08-01,Closed,False,Documentation gap,Owner 08,2,True
44,4,Medium,Documentation,ORG,ORG 1.7.12,Synthetic finding 44 in documentation category.,2,2024-07-23,2024-09-06,2024-10-04,Closed,False,Training gap,Owner 05,1,True
45,4,Low,Documentation,DSP,DSP 3.6.2,Synthetic finding 45 in documentation category.,3,2024-07-19,2024-09-23,2024-08-26,Closed,False,Training gap,Owner 20,3,False
46,4,Medium,Operations,DSP,DSP 2.1.1,Synthetic finding 46 in operations category.,6,2024-07-24,2024-09-22,2024-10-07,Closed,False,Training gap,Owner 05,3,True
47,4,Low,Training,ORG,ORG 1.3.2,Synthetic finding 47 in training category.,4,2024-07-29,,2024-09-13,Overdue,False,Training gap,Owner 17,4,False
48,4,Medium,Equipment,DSP,DSP 3.2.7,Synthetic finding 48 in equipment category.,6,2024-07-22,2024-08-25,2024-08-25,Closed,False,Procedure not followed,Owner 15,3,True
49,4,Low,Training,FLT,FLT 3.4.1,Synthetic finding 49 in training category.,1,2024-07-18,2024-08-22,2024-09-26,Closed,False,Procedure not followed,Owner 14,1,True
50,4,Medium,Documentation,DSP,DSP 1.10.1,Synthetic finding 50 in documentation category.,6,2024-07-21,2024-09-03,2024-10-19,Closed,False,Documentation gap,Owner 04,3,True
51,4,High,Human Factors,FLT,FLT 2.2.38,Synthetic finding 51 in human factors category.,16,2024-07-28,2024-09-02,2024-10-21,Closed,False,Documentation gap,Owner 09,4,True
52,4,High,Equipment,ORG,ORG 1.5.1,Synthetic finding 52 in equipment category.,16,2024-07-24,,2024-09-27,Overdue,False,Documentation gap,Owner 18,4,False
53,5,Low,Documentation,ORG,ORG 1.7.10,Synthetic finding 53 in documentation category.,3,2024-10-08,2024-11-22,2024-11-18,Closed,False,Process design,Owner 11,3,False
54,5,Low,Equipment,ORG,ORG 2.1.7,Synthetic finding 54 in equipment category.,3,2024-10-09,2024-11-27,2024-12-02,Closed,False,Procedure not followed,Owner 18,3,True
55,5,Medium,Documentation,ORG,ORG 1.7.6,Synthetic finding 55 in documentation category.,4,2024-10-09,2024-11-30,2024-12-10,Closed,False,Training gap,Owner 10,2,True
56,5,Medium,Operations,ORG,ORG 1.3.1,Synthetic finding 56 in operations category.,6,2024-09-30,,2024-11-18,Overdue,False,Training gap,Owner 09,3,False
57,5,Medium,Facilities,ORG,ORG 1.5.6,Synthetic finding 57 in facilities category.,8,2024-10-10,2024-11-18,2025-01-02,Closed,False,Resource limitation,Owner 06,4,True
58,5,Critical,Operations,ORG,ORG 1.5.4,Synthetic finding 58 in operations category.,15,2024-10-01,2024-10-25,2024-12-03,Closed,False,Resource limitation,Owner 20,3,True
59,5,Medium,Operations,ORG,ORG 3.1.3,Synthetic finding 59 in operations category.,10,2024-10-06,2024-11-25,2024-12-31,Closed,False,Procedure not followed,Owner 16,5,True
60,5,Medium,Human Factors,ORG,ORG 4.2.1,Synthetic finding 60 in human factors category.,10,2024-10-06,2024-12-12,2025-01-02,Closed,False,Documentation gap,Owner 01,5,True
61,5,Low,Human Factors,ORG,ORG 1.7.2,Synthetic finding 61 in human factors category.,1,2024-09-30,,2024-12-18,Overdue,True,Process design,Owner 07,1,False
62,5,Low,Equipment,CAB,CAB 2.3.2,Synthetic finding 62 in equipment category.,5,2024-10-09,2024-12-21,2024-12-15,Closed,False,Procedure not followed,Owner 17,5,False
63,5,High,Training,CAB,CAB 1.6.5,Synthetic finding 63 in training category.,16,2024-10-04,,2024-11-08,Overdue,False,Procedure not followed,Owner 12,4,False
64,5,Low,Operations,CAB,CAB 1.6.4,Synthetic finding 64 in operations category.,3,2024-09-30,2024-11-12,2024-12-21,Closed,False,Training gap,Owner 18,3,True
65,5,Medium,Operations,CAB,CAB 1.7.2,Synthetic finding 65 in operations category.,2,2024-09-29,2024-11-01,2024-12-16,Closed,False,Procedure not followed,Owner 07,1,True
66,5,Low,Documentation,CAB,CAB 1.11.5,Synthetic finding 66 in documentation category.,3,2024-10-05,,2024-12-06,Overdue,True,Resource limitation,Owner 04,3,False
67,5,Medium,Equipment,CAB,CAB 3.1.6,Synthetic finding 67 in equipment category.,2,2024-10-01,,2024-12-11,Overdue,False,Procedure not followed,Owner 13,1,False
68,5,Medium,Documentation,CAB,CAB 1.6.4,Synthetic finding 68 in documentation category.,10,2024-09-30,2024-10-20,2024-12-07,Closed,False,Documentation gap,Owner 05,5,True
69,5,Critical,Facilities,ORG,ORG 3.2.1,Synthetic finding 69 in facilities category.,15,2024-10-01,2024-11-17,2024-11-06,Closed,False,Procedure not followed,Owner 07,3,False
70,5,High,Operations,CAB,CAB 2.2.13,Synthetic finding 70 in operations category.,16,2024-10-09,2024-12-10,2024-12-16,Closed,False,Process design,Owner 07,4,True
71,5,Critical,Documentation,CAB,CAB 3.2.12,Synthetic finding 71 in documentation category.,15,2024-09-29,2024-11-25,2024-12-18,Closed,False,Procedure not followed,Owner 03,3,True
72,6,Low,Operations,MNT,MNT 1.7.6,Synthetic finding 72 in operations category.,5,2023-12-14,2024-02-09,2024-02-27,Closed,False,Training gap,Owner 02,5,True
73,6,Medium,Equipment,ORG,ORG 2.1.7,Synthetic finding 73 in equipment category.,2,2023-12-11,2023-12-25,2024-01-15,Closed,False,Procedure not followed,Owner 14,1,True
74,6,Low,Documentation,MNT,MNT 1.3.2,Synthetic finding 74 in documentation category.,4,2023-12-21,,2024-02-04,Overdue,False,Documentation gap,Owner 19,4,False
75,6,High,Human Factors,ORG,ORG 1.7.12,Synthetic finding 75 in human factors category.,12,2023-12-17,2024-02-16,2024-02-02,Closed,False,Procedure not followed,Owner 13,3,False
76,6,High,Human Factors,ORG,ORG 2.2.2,Synthetic finding 76 in human factors category.,16,2023-12-10,2023-12-18,2024-02-24,Closed,False,Documentation gap,Owner 17,4,True
77,6,Medium,Facilities,ORG,ORG 3.5.2,Synthetic finding 77 in facilities category.,4,2023-12-18,2024-01-26,2024-03-13,Closed,False,Process design,Owner 12,2,True
78,6,Low,Operations,ORG,ORG 4.1.1,Synthetic finding 78 in operations category.,1,2023-12-16,2024-02-04,2024-02-28,Closed,False,Resource limitation,Owner 16,1,True
79,6,Medium,Human Factors,ORG,ORG 2.1.6,Synthetic finding 79 in human factors category.,8,2023-12-10,2024-02-23,2024-02-19,Closed,False,Documentation gap,Owner 10,4,False
80,6,Medium,Operations,ORG,ORG 2.6.2,Synthetic finding 80 in operations category.,2,2023-12-11,2024-02-27,2024-02-09,Closed,False,Procedure not followed,Owner 10,1,False
81,6,Medium,Human Factors,MNT,MNT 4.1.5,Synthetic finding 81 in human factors category.,6,2023-12-10,2024-01-29,2024-02-20,Closed,True,Training gap,Owner 20,3,True
82,6,Medium,Human Factors,MNT,MNT 4.5.1,Synthetic finding 82 in human factors category.,2,2023-12-16,2024-01-25,2024-03-04,Closed,False,Training gap,Owner 07,1,True
83,6,Low,Training,MNT,MNT 4.5.4,Synthetic finding 83 in training category.,1,2023-12-18,2024-01-11,2024-01-17,Closed,False,Resource limitation,Owner 04,1,True
84,6,Low,Human Factors,ORG,ORG 3.1.5,Synthetic finding 84 in human factors category.,5,2023-12-09,2024-02-08,2024-01-08,Closed,True,Procedure not followed,Owner 13,5,False
85,6,Medium,Equipment,ORG,ORG 2.5.1,Synthetic finding 85 in equipment category.,2,2023-12-13,2024-01-18,2024-02-06,Closed,False,Procedure not followed,Owner 05,1,True
86,6,Medium,Human Factors,MNT,MNT 2.3.1,Synthetic finding 86 in human factors category.,4,2023-12-17,2024-02-09,2024-02-12,Closed,False,Procedure not followed,Owner 10,2,True
87,6,Medium,Operations,MNT,MNT 4.11.1,Synthetic finding 87 in operations category.,4,2023-12-15,,2024-03-14,Overdue,False,Procedure not followed,Owner 09,2,False
88,6,Medium,Human Factors,MNT,MNT 1.12.5,Synthetic finding 88 in human factors category.,6,2023-12-08,2024-01-13,2024-01-15,Closed,False,Training gap,Owner 09,3,True
89,6,Low,Human Factors,ORG,ORG 2.4.2,Synthetic finding 89 in human factors category.,1,2023-12-19,,2024-02-28,Overdue,False,Training gap,Owner 07,1,False
90,6,Medium,Documentation,MNT,MNT 2.12.2,Synthetic finding 90 in documentation category.,10,2023-12-12,,2024-02-18,Overdue,True,Procedure not followed,Owner 08,5,False
91,6,Low,Documentation,ORG,ORG 4.3.2,Synthetic finding 91 in documentation category.,4,2023-12-21,2024-01-20,2024-03-06,Closed,False,Procedure not followed,Owner 02,4,True
92,6,Low,Training,MNT,MNT 1.12.7,Synthetic finding 92 in training category.,5,2023-12-16,2024-01-23,2024-02-11,Closed,False,Documentation gap,Owner 15,5,True
93,6,Critical,Documentation,MNT,MNT 1.2.3,Synthetic finding 93 in documentation category.,20,2023-12-16,2024-01-21,2024-03-12,Closed,False,Documentation gap,Owner 09,4,True
94,7,Medium,Facilities,ORG,ORG 3.1.3,Synthetic finding 94 in facilities category.,2,2023-05-26,2023-07-06,2023-07-31,Closed,False,Process design,Owner 04,1,True
95,7,Medium,Training,ORG,ORG 1.3.3,Synthetic finding 95 in training category.,4,2023-05-24,2023-07-26,2023-08-09,Closed,True,Procedure not followed,Owner 18,2,True
96,7,Medium,Equipment,ORG,ORG 2.1.1,Synthetic finding 96 in equipment category.,10,2023-05-21,2023-07-11,2023-07-04,Closed,False,Resource limitation,Owner 16,5,False
97,7,Medium,Equipment,ORG,ORG 1.7.2,Synthetic finding 97 in equipment category.,2,2023-05-30,2023-07-18,2023-08-21,Closed,False,Training gap,Owner 11,1,True
98,7,Low,Training,ORG,ORG 3.2.1,Synthetic finding 98 in training category.,2,2023-06-02,2023-07-07,2023-07-15,Closed,False,Training gap,Owner 17,2,True
99,7,Medium,Training,ORG,ORG 1.1.1,Synthetic finding 99 in training category.,2,2023-05-28,2023-07-14,2023-07-17,Closed,False,Procedure not followed,Owner 03,1,True
100,7,Medium,Facilities,ORG,ORG 3.3.4,Synthetic finding 100 in facilities category.,4,2023-05-30,,2023-08-01,Overdue,False,Documentation gap,Owner 16,2,False
101,7,Medium,Equipment,ORG,ORG 4.1.3,Synthetic finding 101 in equipment category.,10,2023-05-28,,2023-08-13,Overdue,False,Process design,Owner 18,5,False
102,7,Low,Human Factors,ORG,ORG 3.1.2,Synthetic finding 102 in human factors category.,4,2023-05-31,2023-07-08,2023-07-10,Closed,False,Resource limitation,Owner 02,4,True
103,7,Low,Documentation,ORG,ORG 3.5.2,Synthetic finding 103 in documentation category.,4,2023-06-03,,2023-08-22,Overdue,False,Procedure not followed,Owner 15,4,False
104,7,High,Documentation,ORG,ORG 3.6.1,Synthetic finding 104 in documentation category.,12,2023-05-23,2023-07-07,2023-08-21,Closed,False,Procedure not followed,Owner 19,3,True
105,7,High,Training,ORG,ORG 3.3.4,Synthetic finding 105 in training category.,20,2023-05-29,2023-06-28,2023-08-02,Closed,False,Documentation gap,Owner 13,5,True
106,7,Medium,Equipment,ORG,ORG 2.6.1,Synthetic finding 106 in equipment category.,4,2023-05-25,2023-07-05,2023-07-25,Closed,False,Resource limitation,Owner 05,2,True
107,7,High,Documentation,ORG,ORG 1.5.2,Synthetic finding 107 in documentation category.,16,2023-05-30,2023-07-30,2023-08-22,Closed,True,Procedure not followed,Owner 13,4,True
108,7,High,Operations,ORG,ORG 3.1.3,Synthetic finding 108 in operations category.,16,2023-05-22,2023-07-03,2023-07-01,Closed,True,Training gap,Owner 19,4,False
109,7,High,Operations,ORG,ORG 1.5.2,Synthetic finding 109 in operations category.,12,2023-05-23,2023-05-31,2023-08-04,Closed,False,Process design,Owner 12,3,True
110,7,Critical,Operations,ORG,ORG 2.1.8,Synthetic finding 110 in operations category.,20,2023-05-24,2023-07-28,2023-07-27,Closed,False,Procedure not followed,Owner 12,4,False
111,7,High,Operations,ORG,ORG 4.1.2,Synthetic finding 111 in operations category.,16,2023-05-25,2023-06-29,2023-08-14,Closed,False,Training gap,Owner 09,4,True
112,7,Medium,Training,ORG,ORG 4.3.2,Synthetic finding 112 in training category.,6,2023-05-26,2023-06-24,2023-08-05,Closed,False,Training gap,Owner 02,3,True
113,7,Medium,Human Factors,ORG,ORG 1.5.3,Synthetic finding 113 in human factors category.,10,2023-06-02,2023-07-13,2023-08-28,Closed,True,Documentation gap,Owner 17,5,True
114,7,High,Human Factors,ORG,ORG 2.2.2,Synthetic finding 114 in human factors category.,16,2023-06-02,,2023-08-29,Overdue,False,Training gap,Owner 03,4,False
115,8,High,Human Factors,ORG,ORG 4.3.1,Synthetic finding 115 in human factors category.,12,2024-06-30,2024-08-16,2024-09-20,Closed,False,Documentation gap,Owner 14,3,True
116,8,High,Equipment,ORG,ORG 4.2.1,Synthetic finding 116 in equipment category.,12,2024-06-26,2024-07-05,2024-08-09,Closed,False,Procedure not followed,Owner 20,3,True
117,8,High,Documentation,CAB,CAB 1.6.4,Synthetic finding 117 in documentation category.,20,2024-06-21,2024-07-28,2024-08-11,Closed,False,Training gap,Owner 13,5,True
118,8,High,Documentation,ORG,ORG 3.3.5,Synthetic finding 118 in documentation category.,16,2024-06-22,2024-08-18,2024-08-28,Closed,False,Resource limitation,Owner 07,4,True
119,8,Medium,Operations,CAB,CAB 3.4.4,Synthetic finding 119 in operations category.,6,2024-06-30,,2024-08-09,Overdue,False,Training gap,Owner 15,3,False
120,8,Low,Facilities,ORG,ORG 1.5.4,Synthetic finding 120 in facilities category.,2,2024-06-23,2024-07-28,2024-08-28,Closed,False,Procedure not followed,Owner 19,2,True
121,8,High,Documentation,ORG,ORG 2.1.8,Synthetic finding 121 in documentation category.,12,2024-06-23,2024-08-19,2024-07-23,Closed,False,Training gap,Owner 15,3,False
122,8,Low,Human Factors,ORG,ORG 4.2.1,Synthetic finding 122 in human factors category.,4,2024-06-20,2024-07-16,2024-08-12,Closed,False,Resource limitation,Owner 18,4,True
123,8,Critical,Equipment,CAB,CAB 3.2.1,Synthetic finding 123 in equipment category.,15,2024-06-23,2024-08-21,2024-08-16,Closed,False,Procedure not followed,Owner 03,3,False
124,8,Medium,Documentation,ORG,ORG 1.3.2,Synthetic finding 124 in documentation category.,6,2024-06-20,2024-08-05,2024-08-05,Closed,False,Training gap,Owner 18,3,True
125,8,High,Training,ORG,ORG 1.5.2,Synthetic finding 125 in training category.,16,2024-06-20,,2024-08-14,Overdue,False,Documentation gap,Owner 15,4,False
126,8,Medium,Operations,ORG,ORG 4.1.1,Synthetic finding 126 in operations category.,6,2024-06-21,2024-08-20,2024-07-22,Closed,False,Training gap,Owner 04,3,False
127,8,Critical,Equipment,ORG,ORG 3.3.4,Synthetic finding 127 in equipment category.,20,2024-07-02,2024-08-13,2024-08-01,Closed,False,Documentation gap,Owner 13,4,False
128,8,Medium,Operations,ORG,ORG 1.7.7,Synthetic finding 128 in operations category.,2,2024-06-29,,2024-09-07,Overdue,False,Training gap,Owner 12,1,False
129,8,Low,Equipment,ORG,ORG 4.3.1,Synthetic finding 129 in equipment category.,1,2024-07-02,2024-08-16,2024-08-18,Closed,False,Procedure not followed,Owner 12,1,True
130,8,Critical,Human Factors,ORG,ORG 3.3.5,Synthetic finding 130 in human factors category.,20,2024-06-26,2024-08-17,2024-09-21,Closed,False,Training gap,Owner 15,4,True
131,9,High,Facilities,DSP,DSP 4.3.16,Synthetic finding 131 in facilities category.,16,2022-09-28,2022-12-07,2022-12-05,Closed,True,Procedure not followed,Owner 12,4,False
132,9,High,Operations,ORG,ORG 3.6.1,Synthetic finding 132 in operations category.,16,2022-09-29,2022-12-07,2022-11-27,Closed,False,Process design,Owner 08,4,False
133,9,Medium,Human Factors,ORG,ORG 1.1.3,Synthetic finding 133 in human factors category.,2,2022-09-30,2022-11-23,2022-12-25,Closed,True,Documentation gap,Owner 20,1,True
134,9,Low,Documentation,DSP,DSP 1.8.6,Synthetic finding 134 in documentation category.,4,2022-09-27,2023-01-16,2022-11-27,Closed,False,Process design,Owner 02,4,False
135,9,Low,Human Factors,DSP,DSP 4.3.2,Synthetic finding 135 in human factors category.,1,2022-09-30,2022-11-18,2022-11-13,Closed,False,Procedure not followed,Owner 18,1,False
136,9,Medium,Operations,GRH,GRH 1.6.5,Synthetic finding 136 in operations category.,8,2022-09-30,,2022-12-21,Overdue,False,Resource limitation,Owner 19,4,False
137,9,Low,Operations,ORG,ORG 3.2.1,Synthetic finding 137 in operations category.,1,2022-09-22,2022-12-01,2022-11-14,Closed,False,Training gap,Owner 04,1,False
138,9,Low,Operations,DSP,DSP 1.8.4,Synthetic finding 138 in operations category.,2,2022-09-21,2022-10-31,2022-12-16,Closed,False,Training gap,Owner 01,2,True
139,9,Low,Operations,DSP,DSP 4.1.2,Synthetic finding 139 in operations category.,3,2022-09-23,2022-10-28,2022-12-02,Closed,False,Process design,Owner 06,3,True
140,9,Low,Documentation,DSP,DSP 4.3.9,Synthetic finding 140 in documentation category.,3,2022-09-24,2022-11-27,2022-12-17,Closed,False,Training gap,Owner 16,3,True
141,9,Low,Human Factors,ORG,ORG 1.7.3,Synthetic finding 141 in human factors category.,5,2022-09-28,2022-12-07,2022-12-02,Closed,True,Process design,Owner 10,5,False
142,9,Low,Human Factors,ORG,ORG 3.1.4,Synthetic finding 142 in human factors category.,4,2022-09-30,2022-12-03,2022-11-14,Closed,False,Training gap,Owner 03,4,False
143,9,Medium,Human Factors,ORG,ORG 1.7.6,Synthetic finding 143 in human factors category.,8,2022-09-28,,2022-11-11,Overdue,False,Resource limitation,Owner 07,4,False
144,9,High,Training,GRH,GRH 4.1.6,Synthetic finding 144 in training category.,12,2022-09-27,,2022-10-30,Overdue,False,Process design,Owner 10,3,False
145,9,Low,Documentation,DSP,DSP 3.2.9C,Synthetic finding 145 in documentation category.,1,2022-09-29,,2022-12-15,Overdue,False,Resource limitation,Owner 06,1,False
146,9,Low,Human Factors,GRH,GRH 3.7.5,Synthetic finding 146 in human factors category.,2,2022-09-30,2022-12-27,2022-12-18,Closed,False,Procedure not followed,Owner 10,2,False
147,9,Medium,Training,GRH,GRH 2.1.5,Synthetic finding 147 in training category.,2,2022-09-24,2022-11-30,2022-12-22,Closed,False,Procedure not followed,Owner 13,1,True
148,9,Low,Documentation,GRH,GRH 3.3.3,Synthetic finding 148 in documentation category.,1,2022-09-28,,2022-11-26,Overdue,False,Training gap,Owner 06,1,False
149,9,Low,Documentation,GRH,GRH 1.11.1,Synthetic finding 149 in documentation category.,3,2022-09-29,,2022-12-09,Overdue,False,Process design,Owner 09,3,False
150,9,Low,Facilities,ORG,ORG 2.4.4,Synthetic finding 150 in facilities category.,4,2022-09-23,,2022-12-22,Overdue,True,Resource limitation,Owner 18,4,False
151,9,High,Training,GRH,GRH 1.6.9,Synthetic finding 151 in training category.,12,2022-09-29,2022-11-19,2022-11-12,Closed,False,Documentation gap,Owner 15,3,False
152,9,Low,Operations,ORG,ORG 1.7.10,Synthetic finding 152 in operations category.,3,2022-09-29,2022-12-13,2022-12-28,Closed,True,Procedure not followed,Owner 09,3,True
153,9,Low,Operations,GRH,GRH 1.11.2,Synthetic finding 153 in operations category.,1,2022-09-24,2022-12-28,2022-11-02,Closed,False,Procedure not followed,Owner 06,1,False
154,9,Medium,Operations,DSP,DSP 3.6.3,Synthetic finding 154 in operations category.,6,2022-09-30,2022-12-09,2022-12-05,Closed,False,Process design,Owner 04,3,False
155,10,Critical,Equipment,ORG,ORG 2.2.2,Synthetic finding 155 in equipment category.,20,2022-07-23,,2022-10-15,Overdue,False,Resource limitation,Owner 17,4,False
156,10,Medium,Equipment,MNT,MNT 2.1.1,Synthetic finding 156 in equipment category.,4,2022-07-26,2022-10-10,2022-09-06,Closed,False,Training gap,Owner 13,2,False
157,10,Low,Operations,ORG,ORG 2.6.1,Synthetic finding 157 in operations category.,1,2022-07-21,2022-09-16,2022-09-01,Closed,False,Procedure not followed,Owner 18,1,False
158,10,High,Training,ORG,ORG 2.4.1,Synthetic finding 158 in training category.,20,2022-07-19,2022-10-23,2022-08-28,Closed,False,Documentation gap,Owner 11,5,False
159,10,High,Documentation,MNT,MNT 4.7.2,Synthetic finding 159 in documentation category.,12,2022-07-27,2022-09-17,2022-08-31,Closed,True,Procedure not followed,Owner 05,3,False
